id;city_id;"city_name";"country";latitude;longitude;"tabooWords";number_played
1;1;"Hiroshima";"Japan";34.38520300;132.45529300;"atomic bombs; castles; parks; humid; gardens; rebuilt; coastlines; wars; pancakes; shrines; cherry blossoms; peace; oleanders";3
2;2;"Paris";"France";48.85661400;2.35222200;"capital; cafes; rivers; museums; cathedrals; art; monuments; towers; palaces; romances; terrorists; baguettes; pastries; fashion";3
3;3;"Sydney";"Australia";-33.79451450;150.36192700;"bridges; beaches; harbours; operas; barbecues; convicts; surfing; eucalyptus; kangaroos; harbor; snakes; sharks; koalas";3
4;4;"Hong Kong";"Hong Kong";22.39642800;114.10949700;"industry; trade; banks; luxury cars; food";3
5;5;"Venice";"Italy";45.44084700;12.31551500;"gondolas; canals; art; water; pizzas; romantic; gondoliers; bridges; renaissance; architecture; blinds; smell";3
6;6;"Moscow";"Russia";55.75582600;37.61730000;"cathedrals; snow; cultures; communism; tyranny; languages";3
7;7;"Beijing";"China";39.90421100;116.40739500;"historical; governments; modern; businesses; bicycles; smog; crowds; pandas";3
8;8;"Amsterdam";"Netherlands";52.37021600;4.89516800;"canals; art; drugs; museums; weed; prostitutes; wind mills; tulips";3
9;9;"Jerusalem";"Israel";31.76831900;35.21371000;"religions; holy; wars; walls; settlements; heritage; falafels";3
10;10;"Athens";"Greece";37.98391700;23.72936000;"capitals; history; ancient; goddesses; mythology; ruins; statues; cultures; philosophy; beaches; fetas; retsinas; democracy";3
11;11;"Tokyo";"Japan";35.68948700;139.69170600;"skyscrapers; busy; parks; sushis; pop cultures; subways; companies; cherry trees";3
12;12;"Buenos Aires";"Argentina";-34.61546110;-58.57340850;"governments; music; nightlife; food; steaks; bars; port; wines";3
13;13;"Mumbai (formerly Bombai)";"India";19.07598400;72.87765600;"tropical climate; islands; festivals; bollywood; films; cows; curry; seasports";3
14;14;"Rio de Janeiro";"Brazil";-22.91035520;-43.72854280;"beaches; carnival; monuments; bananas; parades; crowds; dances; soccer; poverty";3
15;15;"Rome";"Italy";41.91024160;12.25579770;"capital; art; history; tourism; religion; ancient; pope; sightseeing; colliseum; empire";4
16;16;"Prague";"Czech Republic";50.07553800;14.43780000;"capital; castles; old town; theatres; museums; communism; gothic; stag parties; music; galleries";3
17;17;"London";"United Kingdom";51.50735100;-0.12775800;"capital; palaces; towers; bridges; rivers; queen; guards; fish and chips; royalty; tours; clocks";3
18;18;"Boston";"United States";42.36008200;-71.05888000;"basketball; tea party; marathons; colleges; clam chowder; universities; pilgrims; seafood";3
19;19;"San Francisco";"United States";37.77492900;-122.41941600;"bridges; water; earthquakes; gold; parks; homosexuals; trams; seafood";3
20;20;"Istanbul";"Turkey";41.00823800;28.97835900;"football; earthquakes; history; tobacco; kebabs; empire; olives; old work; peninsula; sea";3
21;21;"New York";"United States";40.71278400;-74.00594100;"skyscraper; music; city; rivers; cabs; entertainment; statues; crowds; apples; money";5
22;22;"Berlin";"Germany";52.52000700;13.40495400;"capital; walls; beers; politics; refugees; sausages; rebuilt; financial center; sports; cold war; history; watchtowers; graffitis";4
23;23;"Dubai";"United Arab Emirates";25.20484900;55.27078300;"deserts; skyscrapers; wealth; hijab; rich people; tourism; abaya; old world; oil";3
24;24;"Honolulu";"United States";19.89676600;-155.58278200;"beaches; palm trees; tropical; island; sand; surfing; hulas; flowers; volcano; skirts";3
25;25;"Barcelona";"Spain";41.38506400;2.17340300;"flamenco; architecture; art; gardens; football; waterfront; dances; cathedrals; cultures; independent; rich; autonomous";3
26;26;"Kyoto";"Japan";35.01163600;135.76802900;"temples; nature; islands; palaces; gardens; kimonos; sake; subtropical";3
27;27;"Bruges";"Belgium";51.20934800;3.22470000;"history; rivers; arts; canals; laces; chocolates; mayonnaise; festivals; bicycles; cheeses; fries; windmills";3
28;28;"Chicago";"United States";41.87811400;-87.62979800;"hot dogs; lakes; cold; pizzas; lakes; skyscrapers; shopping; museums; baseball; sculptures";4
29;29;"Cincinnati";"United States";39.13625620;-84.68048650;"chilis; city; football; rivers; pigs; borders; immigration; jazz";3
30;30;"Vienna";"Austria";48.20817400;16.37381900;"music; composers; art; sausages; pianos; palaces; museums; orchestra; culture; fashion";3
31;31;"Beirut";"Lebanon";33.88862900;35.49547900;"capital; wars; ancient; historical; multicultural; prehistoric; damaged";3
32;32;"Bangkok";"Thailand";13.75633100;100.50176500;"capital; temples; food; rivers; third world; prostitution; canoes; smell; transportation hub; street markets; bargaining";3
33;33;"Florence";"Italy";43.76956000;11.25581400;"arts; fashion; history; wines; opera; museums; cathedrals; architectures; palaces; politics; leathers";3
34;34;"Budapest";"Hungary";47.49791200;19.04023500;"capital; rivers; architectures; wines; startups; technology; baths; old world; spas";4
35;35;"Cairo";"Egypt";30.04442000;31.23571200;"pyramids; museums; tombs; deserts; sand; antiquities; rivers; camels; bazars; mumies";3
36;36;"Marrakesh";"Morocco";31.62947200;-7.98108400;"food; trade; turbans; tourism; cliff walls; colors; markets; mosques; camels";3
37;37;"Singapore";"Singapore";1.35208300;103.81983600;"islands; busy; orchids; gardens; business center; flora; religions";3
38;38;"Bucharest";"Romania";44.42764100;26.10200300;"palaces; festivals; neo-classical architectures; cultures; financial centers; churches";3
39;39;"Wellington";"New Zealand";-41.28646000;174.77623600;"kiwis; cultural centers; city; rural areas";3
40;40;"Lisbon";"Portugal";38.72225200;-9.13933700;"fishing; sardines; earthquakes; football; history: oils; museums; olives; ports; hills";3
41;41;"New Delhi";"India";28.61393900;77.20902100;"temples; cows; festivals; spice stalls; beggars; landscaped gardens; crowds; food; observatory; crickets; markets; religious festivals; poverty";3
42;42;"Las Vegas";"United States";36.16994100;-115.13983000;"casinos; shows; entertainment; magic; marriages; dances; nightlife; money; hotels; deserts; gaming; prostitution";3
43;43;"Mecca";"Saudi Arabia";21.38908200;39.85791200;"muslims; deserts; worship; wars; pilgrimages; saudis; pilgrims; holy; walls; polygenism";3
